ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,CNN_layers,model,Max-length
0.806553911,0.79648411,0.817512877,0.826086956,0.786827195,0.613455331,0.81101549,0.882271871,"0.8575426044717886
",2,DBP-CNN,L=800
0.816420014,0.805536799,0.828297715,0.83660589,0.796033994,0.633236918,0.820777433,0.891304844,"0.873205710725167
",2,DBP-CNN,L=800
0.812191684,0.797072521,0.829213483,0.840112201,0.783994334,0.625195321,0.81802663,0.891102213,"0.8772496907730644
",2,DBP-CNN,L=800
0.821705426,0.839734121,0.805256064,0.797335203,0.84631728,0.644320988,0.817985611,0.899129481,"0.8809531681539745
",2,DBP-CNN,L=800
0.803665844,0.786657859,0.823129251,0.835789473,0.771246458,0.608409967,0.810479755,0.883982903,"0.8713247699007034
",2,DBP-CNN,L=800
0.813248767,0.778260869,0.85912052,0.878681626,0.747167138,0.631588756,0.825428195,0.88914593,"0.8643427773330292
",2,DBP-CNN,L=800
0.814305849,0.802286482,0.827535159,0.83660589,0.791784702,0.629105711,0.819086852,0.888708138,"0.8713916136268637
",2,DBP-CNN,L=800
0.800211416,0.744729344,0.890120036,0.916549789,0.682719546,0.61680286,0.821754165,0.889466266,"0.8749712723131862
",2,DBP-CNN,L=800
0.812896406,0.799732083,0.827509293,0.837307152,0.788243626,0.626395507,0.818088386,0.890622951,"0.8690905443337053
",2,DBP-CNN,L=800
0.808953119,0.818772563,0.799586776,0.795789473,0.82223796,0.618193365,0.807117437,0.887041897,"0.8681585112991341
",2,DBP-CNN,L=800
0.819591261,0.807951482,0.832348596,0.840813464,0.79815864,0.639635747,0.824054983,0.888632896,"0.8695010295096113
",2,DBP-CNN,L=800
0.813248767,0.77184466,0.870588235,0.892005609,0.733711048,0.634019688,0.827586207,0.885481189,"0.8569379490562982
",2,DBP-CNN,L=800
0.816772375,0.804845222,0.829881656,0.838709677,0.794617563,0.634026674,0.821428571,0.89050475,"0.8704082547123957
",2,DBP-CNN,L=800
0.815362932,0.811034482,0.819884726,0.824684431,0.805949008,0.630776309,0.817802503,0.898044561,"0.8819262039432358
",2,DBP-CNN,L=800
0.796616144,0.821212121,0.775214238,0.760701754,0.832861189,0.594992929,0.789799635,0.883092789,"0.8605576696247741
",2,DBP-CNN,L=800
0.816420014,0.779493514,0.865463494,0.884992987,0.747167138,0.63852651,0.828899836,0.890251461,"0.8635127621705638
",2,DBP-CNN,L=800
0.808315715,0.796769851,0.821005917,0.83029453,0.78611898,0.617094264,0.813186813,0.885003417,"0.8660084529820326
",2,DBP-CNN,L=800
0.818181818,0.794307891,0.846749225,0.86115007,0.774787535,0.63849223,0.826379542,0.891542737,"0.8798234289192463
",2,DBP-CNN,L=800
0.815362932,0.792857142,0.842064714,0.856241234,0.77407932,0.632617023,0.823331085,0.885570088,"0.8616465449023787
",2,DBP-CNN,L=800
0.80965809,0.81539558,0.80404463,0.802807017,0.816572237,0.619409733,0.809052334,0.890049202,"0.8697927419593086
",2,DBP-CNN,L=800
0.798449612,0.809420289,0.788065843,0.783309957,0.813739376,0.597267694,0.796151104,0.879199131,"0.8543540027806718
",2,DBP-CNN,L=800
0.798801973,0.802120141,0.795502459,0.795932678,0.801699716,0.597627498,0.799014431,0.881402743,"0.8612110831432658
",2,DBP-CNN,L=800
0.810782241,0.770212765,0.866722547,0.888499298,0.732294617,0.628812824,0.825138391,0.897951937,"0.8867155647359997
",2,DBP-CNN,L=800
0.807963354,0.856103475,0.770768269,0.742636746,0.873937676,0.621701765,0.795343597,0.892029946,"0.8741632817756908
",2,DBP-CNN,L=800
0.81036306,0.80992313,0.81081081,0.813333333,0.807365439,0.620716357,0.81162465,0.889424979,"0.8715121605370608
",2,DBP-CNN,L=800
0.815010571,0.757870635,0.90650779,0.928471248,0.700424929,0.646393884,0.834541443,0.896507197,"0.8774845773120219
",3,DBP-CNN,L=800
0.818181818,0.778799019,0.871475953,0.891304347,0.744334277,0.64291515,0.831262263,0.896951694,"0.8848180322874828
",3,DBP-CNN,L=800
0.826286117,0.806303348,0.849429657,0.86115007,0.791076487,0.653977432,0.832824686,0.901355691,"0.8861800569091403
",3,DBP-CNN,L=800
0.820295983,0.76231386,0.913003662,0.933380083,0.706090651,0.65714975,0.839218159,0.909593784,"0.8991302376232733
",3,DBP-CNN,L=800
0.827282341,0.78983261,0.876633986,0.894035087,0.759915014,0.660178687,0.838709677,0.899325083,"0.8840783506890333
",3,DBP-CNN,L=800
0.809020437,0.839477726,0.783203124,0.766479663,0.851983002,0.620568175,0.801319648,0.894816122,"0.8760326400621157
",3,DBP-CNN,L=800
0.81465821,0.812934631,0.816428571,0.819775595,0.809490084,0.62931444,0.816340782,0.88982385,"0.8732110402364089
",3,DBP-CNN,L=800
0.834038055,0.814351547,0.856709628,0.86746143,0.800283286,0.669400892,0.840067911,0.907857018,"0.893232408326402
",3,DBP-CNN,L=800
0.812896406,0.765894236,0.881385281,0.903927068,0.720963172,0.635986363,0.829205532,0.905755218,"0.8941224091507264
",3,DBP-CNN,L=800
0.80965809,0.852028639,0.775949367,0.751578947,0.868271954,0.623901221,0.798657718,0.899707768,"0.8891211846504992
",3,DBP-CNN,L=800
0.817829457,0.764090645,0.900626678,0.922159887,0.712464589,0.649496639,0.835716555,0.899707079,"0.8801426598524806
",3,DBP-CNN,L=800
0.813248767,0.79015544,0.840803709,0.855539971,0.770538243,0.628513945,0.821548821,0.892109409,"0.8804572172833283
",3,DBP-CNN,L=800
0.822762509,0.817618719,0.828158844,0.833099579,0.812322946,0.645600021,0.825286558,0.90390919,"0.8884741144880448
",3,DBP-CNN,L=800
0.806906272,0.837173578,0.781249999,0.764375876,0.849858356,0.616325347,0.799120234,0.904802157,"0.8912175812447558
",3,DBP-CNN,L=800
0.799436024,0.852553541,0.759704251,0.726315789,0.873229461,0.605868181,0.784388025,0.900067591,"0.8875521553639566
",3,DBP-CNN,L=800
0.807963354,0.755362318,0.88948787,0.91374474,0.701133144,0.629685732,0.827039035,0.901109604,"0.8818763174145366
",3,DBP-CNN,L=800
0.80620155,0.758559622,0.876748251,0.901122019,0.710339943,0.623270888,0.823717948,0.894515156,"0.8800347919816675
",3,DBP-CNN,L=800
0.830514447,0.819905213,0.84202792,0.849228611,0.81161473,0.661388014,0.834309335,0.904130693,"0.8884713192413327
",3,DBP-CNN,L=800
0.824171952,0.800778715,0.851966075,0.865357643,0.782577903,0.650335724,0.83181665,0.903420988,"0.8905823953412065
",3,DBP-CNN,L=800
0.81318294,0.776747062,0.861475409,0.881403508,0.744334277,0.631949299,0.825772518,0.896280503,"0.8851403590071008
",3,DBP-CNN,L=800
0.820295983,0.798955613,0.845329249,0.85834502,0.781869688,0.642246562,0.827586207,0.896930339,"0.8722131646463166
",3,DBP-CNN,L=800
