ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,model,dropout
0.829457364,0.811096433,0.850453172,0.86115007,0.797450424,0.660073403,0.835374149,0.902156034,"0.8767589184529786
",DBP-CNN(Hybrid),0.3
0.81465821,0.778121137,0.863114753,0.8828892,0.745750708,0.634906664,0.827201051,0.899334347,"0.885489786518318
",DBP-CNN(Hybrid),0.3
0.832628612,0.808966861,0.860662047,0.873071528,0.791784702,0.667238303,0.839797639,0.910707758,"0.8961021835758857
",DBP-CNN(Hybrid),0.3
0.803030303,0.733692722,0.933875889,0.954417952,0.650141643,0.635283409,0.829625114,0.908960066,"0.8986508126339434
",DBP-CNN(Hybrid),0.3
0.830454706,0.814666666,0.848167539,0.857543859,0.803116147,0.661746214,0.835555555,0.904065404,"0.8869847741066397
",DBP-CNN(Hybrid),0.3
0.815010571,0.805010155,0.825863335,0.833800841,0.796033994,0.63035395,0.8191526,0.90366782,"0.8884573630936097
",DBP-CNN(Hybrid),0.3
0.817477097,0.786616161,0.856459329,0.87377279,0.760623229,0.638721013,0.827906976,0.895700646,"0.8822878545677866
",DBP-CNN(Hybrid),0.3
0.826990839,0.790192427,0.875305623,0.892706872,0.760623229,0.659386009,0.838327296,0.905843124,"0.8878771102656675
",DBP-CNN(Hybrid),0.3
0.829105004,0.774985388,0.911268855,0.929873772,0.72733711,0.671575579,0.845393688,0.91075494,"0.8985230383825276
",DBP-CNN(Hybrid),0.3
0.831512161,0.797611565,0.874799357,0.890526315,0.771954674,0.66742749,0.841511936,0.902885045,"0.8893879818450243
",DBP-CNN(Hybrid),0.3
0.795630726,0.729392624,0.918511065,0.943197755,0.646600566,0.618168675,0.822629969,0.901258597,"0.8828699111085215
",DBP-CNN(Hybrid),0.3
0.819238901,0.787287602,0.85988791,0.877279102,0.760623229,0.642522193,0.829850746,0.900517851,"0.8872444971907641
",DBP-CNN(Hybrid),0.3
0.821705426,0.826704545,0.816783216,0.816269284,0.827195467,0.643476257,0.821453775,0.900391455,"0.8838754767520149
",DBP-CNN(Hybrid),0.3
0.836856942,0.810045074,0.8692607,0.882187938,0.791076487,0.676278354,0.844578717,0.912830418,"0.9030991593683926
",DBP-CNN(Hybrid),0.3
0.82164258,0.806129247,0.839071856,0.849122806,0.793909348,0.644115717,0.827067669,0.901866706,"0.8945458940002142
",DBP-CNN(Hybrid),0.3
0.822057787,0.780964002,0.878231859,0.897615708,0.745750708,0.651233046,0.835236541,0.898905494,"0.880483647289878
",DBP-CNN(Hybrid),0.3
0.80584919,0.753036437,0.888187556,0.913043478,0.697592067,0.625742889,0.825356577,0.897170218,"0.8792937160950893
",DBP-CNN(Hybrid),0.3
0.831571529,0.782479141,0.902586206,0.920757363,0.741501416,0.673565544,0.846005154,0.913078243,"0.8976293324842045
",DBP-CNN(Hybrid),0.3
0.844256519,0.81824062,0.875386996,0.887096774,0.800991501,0.690852395,0.8512786,0.916607897,"0.904598033003019
",DBP-CNN(Hybrid),0.3
0.831512161,0.809679529,0.857033638,0.868771929,0.793909348,0.664694166,0.838185511,0.903481437,"0.8875549396135438
",DBP-CNN(Hybrid),0.3
0.821705426,0.78083028,0.877499999,0.896914445,0.745750708,0.65045056,0.834856397,0.896709828,"0.874405726112539
",DBP-CNN(Hybrid),0.3
0.814305849,0.785759694,0.849802371,0.866760168,0.761331444,0.631815799,0.824274758,0.894311035,"0.8813843765930633
",DBP-CNN(Hybrid),0.3
0.831571529,0.782142857,0.903281519,0.921458625,0.740793201,0.673738485,0.846104314,0.911235195,"0.8958598187191127
",DBP-CNN(Hybrid),0.3
0.831219168,0.797237915,0.874698794,0.890603085,0.771246458,0.666874056,0.841338191,0.91202039,"0.8986550298282829
",DBP-CNN(Hybrid),0.3
0.833979556,0.839260312,0.828791055,0.828070175,0.839943342,0.668032443,0.833627693,0.908359922,0.890439247,DBP-CNN(Hybrid),0.3
0.822057787,0.786915887,0.867802108,0.885694249,0.757790368,0.649077006,0.83338832,0.899633079,"0.8792594631104012
",DBP-CNN(Hybrid),0.4
0.804087385,0.751154734,0.886980108,0.912342215,0.694759206,0.622424751,0.823939202,0.898708823,"0.8838888076620038
",DBP-CNN(Hybrid),0.4
0.819591261,0.832605531,0.807377049,0.802244039,0.837110481,0.639668474,0.817142857,0.903525283,"0.8911761151795534
",DBP-CNN(Hybrid),0.4
0.839323467,0.806186868,0.881180223,0.895511921,0.782577903,0.6827127,0.848504983,0.915249574,"0.9008137462976945
",DBP-CNN(Hybrid),0.4
0.807895664,0.840030911,0.780946208,0.762807017,0.853399433,0.618587187,0.799558661,0.901233537,"0.8883613520430592
",DBP-CNN(Hybrid),0.4
0.788231149,0.721893491,0.91419816,0.941093968,0.633852691,0.604746865,0.817047184,0.892696939,"0.8739853689460599
",DBP-CNN(Hybrid),0.4
0.825581395,0.78681454,0.877366254,0.895511921,0.754957507,0.65728936,0.837651689,0.905049486,"0.8900672668432745
",DBP-CNN(Hybrid),0.4
0.818181818,0.76546091,0.898576512,0.9200561,0.71529745,0.64953717,0.83566879,0.899937274,"0.8909384545016346
",DBP-CNN(Hybrid),0.4
0.819591261,0.795984455,0.847758887,0.861851332,0.776912181,0.641248594,0.827609427,0.899194542,"0.88409796837381
",DBP-CNN(Hybrid),0.4
0.82446246,0.82165163,0.827363896,0.830877192,0.817988668,0.64894069,0.82623866,0.901147557,"0.8898414358315362
",DBP-CNN(Hybrid),0.4
0.824524313,0.812668463,0.837518463,0.8457223,0.803116147,0.649512337,0.828865979,0.901463711,"0.8820335946252331
",DBP-CNN(Hybrid),0.4
0.821000705,0.783333333,0.871100163,0.889901823,0.75141643,0.647842688,0.8332239,0.902793726,"0.8934100506730203
",DBP-CNN(Hybrid),0.4
0.800211416,0.737686773,0.909796313,0.934782608,0.664305949,0.622815951,0.824621095,0.902350222,"0.8904411172540343
",DBP-CNN(Hybrid),0.4
0.808315715,0.768248175,0.863484086,0.885694249,0.730169971,0.623747784,0.822801303,0.899022206,"0.8798754539408007
",DBP-CNN(Hybrid),0.4
0.82164258,0.769185705,0.900884955,0.921403508,0.720963172,0.656072456,0.83844189,0.898651657,"0.8853947699833215
",DBP-CNN(Hybrid),0.4
0.815715292,0.789237668,0.84808144,0.863955119,0.766997167,0.634127707,0.824907934,0.897564554,"0.8777264913307975
",DBP-CNN(Hybrid),0.4
0.82311487,0.788389513,0.868122977,0.885694249,0.759915014,0.651038052,0.834214002,0.905984668,"0.8948801344039139
",DBP-CNN(Hybrid),0.4
0.791754757,0.723860589,0.921891058,0.946704067,0.635269121,0.61303356,0.820419325,0.90201449,"0.890528446932721
",DBP-CNN(Hybrid),0.4
0.832980973,0.79787234,0.878225806,0.894109396,0.771246458,0.670705495,0.843253968,0.90998812,"0.894839979097042
",DBP-CNN(Hybrid),0.4
0.81459288,0.817667844,0.811533051,0.811929824,0.817280453,0.629205587,0.814788732,0.90071567,"0.887332764609416
",DBP-CNN(Hybrid),0.4
0.824876674,0.797565663,0.85826155,0.873071528,0.776203965,0.652543132,0.83361232,0.899030152,"0.8772354165022158
",DBP-CNN(Hybrid),0.4
0.792459479,0.730071467,0.903827281,0.931276297,0.652266288,0.608199733,0.818489984,0.886869808,"0.8645636964825787
",DBP-CNN(Hybrid),0.4
0.811839323,0.760514018,0.889875665,0.913043478,0.709631728,0.636381592,0.829827916,0.899058958,"0.8897559778420449
",DBP-CNN(Hybrid),0.4
0.825581395,0.808074123,0.845516201,0.856241234,0.794617563,0.652223132,0.831460674,0.90675248,"0.894667963357395
",DBP-CNN(Hybrid),0.4
0.82234755,0.785139318,0.871522094,0.889824561,0.754249291,0.650337179,0.834210526,0.902773719,0.888991737,DBP-CNN(Hybrid),0.4
0.822057787,0.83935151,0.806212018,0.798737727,0.845609065,0.644954874,0.818541142,0.904279686,"0.8849954131070273
",DBP-CNN(Hybrid),0.2
0.818181818,0.813793103,0.82276657,0.82748948,0.808781869,0.636415496,0.820584144,0.896330392,"0.881155056899447
",DBP-CNN(Hybrid),0.2
0.825933756,0.802990897,0.853076922,0.866058905,0.785410764,0.653764703,0.833333333,0.898909964,"0.8859576140070237
",DBP-CNN(Hybrid),0.2
0.826638478,0.801679586,0.856589147,0.870266479,0.782577903,0.655550948,0.83456624,0.904947674,"0.8858666469159454
",DBP-CNN(Hybrid),0.2
0.837856891,0.83161512,0.844428364,0.849122806,0.826487252,0.675826737,0.840277777,0.90522638,"0.893093819675722
",DBP-CNN(Hybrid),0.2
0.805144468,0.745915493,0.904045154,0.928471248,0.6805949,0.629181237,0.827241487,0.893386779,"0.8748822908602885
",DBP-CNN(Hybrid),0.2
0.811839323,0.769649334,0.870777026,0.892706872,0.730169971,0.631590652,0.826623376,0.893495544,"0.8785327381664018
",DBP-CNN(Hybrid),0.2
0.821353066,0.774328358,0.889079965,0.909537166,0.732294617,0.652530879,0.836504353,0.904825996,"0.8904472358711109
",DBP-CNN(Hybrid),0.2
0.78893587,0.713254254,0.952169076,0.969845722,0.606232294,0.619141142,0.821991084,0.905871433,"0.8888708938663704
",DBP-CNN(Hybrid),0.2
