ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,CNN_layers,model,Bi-LSTM cells
0.822057787,0.83935151,0.806212018,0.798737727,0.845609065,0.644954874,0.818541142,0.904279686,"0.8849954131070273
",2,DBP-CNN(Hybrid),16*2
0.818181818,0.813793103,0.82276657,0.82748948,0.808781869,0.636415496,0.820584144,0.896330392,"0.881155056899447
",2,DBP-CNN(Hybrid),16*2
0.825933756,0.802990897,0.853076922,0.866058905,0.785410764,0.653764703,0.833333333,0.898909964,"0.8859576140070237
",2,DBP-CNN(Hybrid),16*2
0.826638478,0.801679586,0.856589147,0.870266479,0.782577903,0.655550948,0.83456624,0.904947674,"0.8858666469159454
",2,DBP-CNN(Hybrid),16*2
0.837856891,0.83161512,0.844428364,0.849122806,0.826487252,0.675826737,0.840277777,0.90522638,"0.893093819675722
",2,DBP-CNN(Hybrid),16*2
0.805144468,0.745915493,0.904045154,0.928471248,0.6805949,0.629181237,0.827241487,0.893386779,"0.8748822908602885
",2,DBP-CNN(Hybrid),16*2
0.811839323,0.769649334,0.870777026,0.892706872,0.730169971,0.631590652,0.826623376,0.893495544,"0.8785327381664018
",2,DBP-CNN(Hybrid),16*2
0.821353066,0.774328358,0.889079965,0.909537166,0.732294617,0.652530879,0.836504353,0.904825996,"0.8904472358711109
",2,DBP-CNN(Hybrid),16*2
0.78893587,0.713254254,0.952169076,0.969845722,0.606232294,0.619141142,0.821991084,0.905871433,"0.8888708938663704
",2,DBP-CNN(Hybrid),16*2
0.825519915,0.793931731,0.865338645,0.881403508,0.769121812,0.654883253,0.835384103,0.901281248,"0.8867503337133512
",2,DBP-CNN(Hybrid),16*2
0.81465821,0.797225891,0.834592144,0.846423562,0.782577903,0.630408178,0.821088435,0.894770431,"0.8735659199160664
",2,DBP-CNN(Hybrid),16*2
0.816772375,0.809426229,0.824599708,0.830995792,0.802407931,0.633714755,0.820069204,0.894371625,"0.8800810474894223
",2,DBP-CNN(Hybrid),16*2
0.816067653,0.775946275,0.870833333,0.891304347,0.740084985,0.639038142,0.829634464,0.901590852,"0.8885031700397449
",2,DBP-CNN(Hybrid),16*2
0.830866808,0.859422492,0.806176084,0.793127629,0.868980169,0.663850894,0.824945295,0.909072804,"0.8949225306166217
",2,DBP-CNN(Hybrid),16*2
0.82446246,0.794659885,0.861550632,0.877192982,0.771246458,0.652313408,0.833889259,0.898063715,"0.8863475011179065
",2,DBP-CNN(Hybrid),16*2
0.825933756,0.784493284,0.882499999,0.901122019,0.749999999,0.659009874,0.838772846,0.897615212,"0.8773255424538278
",2,DBP-CNN(Hybrid),16*2
0.806553911,0.755387303,0.884924174,0.909537166,0.702549575,0.626040068,0.825326121,0.89592662,"0.8808770593596003
",2,DBP-CNN(Hybrid),16*2
0.825229035,0.81762295,0.833333333,0.839410939,0.810906515,0.650636791,0.828373702,0.905796439,"0.8914725113427675
",2,DBP-CNN(Hybrid),16*2
0.82346723,0.860483242,0.792926045,0.774193548,0.873229461,0.650409262,0.815060908,0.909453234,"0.8962319854373417
",2,DBP-CNN(Hybrid),16*2
0.82657737,0.784277879,0.884615384,0.903157894,0.749291784,0.660620311,0.839530332,0.90026937,"0.8885212731769738
",2,DBP-CNN(Hybrid),16*2
0.820295983,0.799738219,0.844274809,0.856942496,0.783286118,0.642118034,0.827352742,0.893722014,"0.8744162923256904
",2,DBP-CNN(Hybrid),16*2
